LocalDateTime,Flow (cfs),Temperture (C)
2016-10-27 08:30:00,3.992675,7.293000
2016-10-27 08:45:00,3.992675,7.268000
2016-10-27 09:00:00,3.907724,7.268000
2016-10-27 09:15:00,3.992675,7.268000
2016-10-27 09:30:00,3.907724,7.242000
2016-10-27 09:45:00,3.794457,7.268000
2016-10-27 10:00:00,3.737823,7.268000
2016-10-27 10:15:00,2.860001,7.268000
2016-10-27 10:30:00,4.870497,7.368000
2016-10-27 10:45:00,3.086536,7.343000
2016-10-27 11:00:00,3.737823,7.419000
2016-10-27 11:15:00,3.907724,7.368000
2016-10-27 11:30:00,3.851091,7.343000
2016-10-27 11:45:00,3.907724,7.343000
2016-10-27 12:00:00,3.851091,7.393000
2016-10-27 12:15:00,3.652873,7.419000
2016-10-27 12:30:00,3.737823,7.494000
2016-10-27 12:45:00,3.737823,7.544000
2016-10-27 13:00:00,3.652873,7.569000
2016-10-27 13:15:00,3.737823,7.619000
2016-10-27 13:30:00,3.652873,7.619000
2016-10-27 13:45:00,3.907724,7.670000
2016-10-27 14:00:00,3.851091,7.695000
2016-10-27 14:15:00,3.794457,7.745000
2016-10-27 14:30:00,3.794457,7.845000
2016-10-27 14:45:00,3.851091,7.895000
2016-10-27 15:00:00,3.851091,7.970000
2016-10-27 15:15:00,3.851091,8.070000
2016-10-27 15:30:00,3.851091,8.145000
2016-10-27 15:45:00,3.992675,8.245000
2016-10-27 16:00:00,3.992675,8.295000
2016-10-27 16:15:00,3.907724,8.344000
2016-10-27 16:30:00,3.794457,8.444000
2016-10-27 16:45:00,3.794457,8.519000
2016-10-27 17:00:00,3.794457,8.593000
2016-10-27 17:15:00,3.851091,8.668000
2016-10-27 17:30:00,3.794457,8.717000
2016-10-27 17:45:00,3.794457,8.742000
2016-10-27 18:00:00,3.794457,8.792000
2016-10-27 18:15:00,3.794457,8.817000
2016-10-27 18:30:00,3.652873,8.841000
2016-10-27 18:45:00,3.652873,8.866000
2016-10-27 19:00:00,3.652873,8.891000
2016-10-27 19:15:00,3.652873,8.916000
2016-10-27 19:30:00,3.596239,8.916000
2016-10-27 19:45:00,3.652873,8.941000
2016-10-27 20:00:00,3.596239,8.941000
2016-10-27 20:15:00,3.652873,8.941000
2016-10-27 20:30:00,3.596239,8.916000
2016-10-27 20:45:00,3.652873,8.891000
2016-10-27 21:00:00,3.652873,8.891000
2016-10-27 21:15:00,3.652873,8.866000
2016-10-27 21:30:00,3.652873,8.841000
2016-10-27 21:45:00,3.652873,8.792000
